racking,First-name,Name,Nationality,Position,age,tall(m),weight,start_career,club,Tournament,club-match,club_W,club_D,club_L,club_starter,club_try,club_points,club_Min,other club tournament  ,other-match,other_W,other_D,other_L,other_starter,other_try,other_points,other_Min,National_match,National_W,National_D,National_L,National_starter,National_try,National_Points,National_min,yellow card,red card
21,Romain,Ntamack,France,Fly,25,1.86,94,2013,Stade Toulousain,Top 14,4,4,0,0,4,0,2,254,Champions Cup,4,4,0,0,4,1,5,318,1,1,0,0,1,1,5,55,0,0
22,Richie,Mo’unga,New Zealand,Fly,30,1.76,86,2015,Toshiba Brave Lupus Tokyo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,3,7,1,56,572,0,0
23,Josh,van-der-Flier,Ireland,Backrow ,31,1.83,105,2014,Leinster Rugby,United Rugby Championship,7,5,0,2,6,2,10,397,Champions Cup,8,7,0,1,5,3,15,441,14,11,0,3,12,0,0,886,0,0
24,RG,Snyman,South Africa,Secondrow ,29,2.07,131,2015,Munster Rugby,United Rugby Championship,10,9,0,1,8,5,25,521,None,0,0,0,0,0,0,0,0,11,8,0,2,2,1,5,525,0,0
25,Scott,Barrett,New Zealand,Secondrow ,30,1.97,119,2013,Crusaders,Super Rugby Pacific,5,1,0,4,5,1,5,318,None,0,0,0,0,0,0,0,0,11,8,0,3,9,0,0,700,2,1
26,Tadhg,Furlong,Ireland,Prop,31,1.83,119,2013,Leinster Rugby,United Rugby Championship,7,6,0,1,4,0,0,256,champions cup,6,5,0,1,6,0,0,346,13,10,0,3,12,0,0,703,0,0
27,Thomas,Ramos,France,Fullback ,29,1.78,87,2004,Stade Toulousain,Top 14,13,8,1,4,13,5,155,914,champions cup,7,7,0,0,4,3,77,373,12,9,1,2,11,1,63,843,0,0
28,Courtney,Lawes,England,Utility Forward ,35,2.01,115,2008,Northampton,Premiership,12,10,0,2,11,2,10,815,champions cup,7,6,0,1,7,3,15,502,8,5,0,3,5,1,5,590,0,0
29,Cyrill,Baille,France,Prop,30,1.82,118,2013,Stade Toulousain,Top 14,12,8,1,3,5,0,0,475,champions cup,8,8,0,0,8,0,0,442,8,6,1,2,8,2,10,455,0,0
30,Angus,Bell,Australia,Prop ,23,1.93,130,2018,Waratahs,Super Rugby Pacific,6,1,0,5,5,0,0,314,None,0,0,0,0,0,0,0,0,7,2,0,5,7,1,5,395,0,0
31,Blair,Kinghorn,Scotland,Utility Back ,27,1.93,107,2015,Stade Toulousain,Top 14,6,6,0,0,6,3,32,435,champions cup,8,8,0,0,8,4,59,624,10,5,0,5,8,1,5,584,0,0
32,Owen,Farrell,England,Fly,32,1.88,94,2012,Saracens,Premiership,13,8,0,5,13,1,103,1007,champions cup,4,2,0,2,4,0,40,320,6,5,0,1,6,0,84,462,0,1
33,James,Lowe,Ireland,Winger,32,1.88,105,2013,Leinster Rugby,United Rugby Championship,3,2,0,1,3,4,20,143,champions cup,6,5,0,1,6,6,30,480,13,10,0,3,13,7,35,978,2,0
34,Malcolm,Marx,South Africa,Hooker ,30,1.89,116,2013,Kubota Spears Funabashi Tokyo-Bay,,,,,,,,,,,,,,,,,,,8,7,0,1,4,4,20,297,1,0
35,Tommasso,Menoncello,Italy,Utility Back,22,1.87,101,2020,Benetton Rugby Trévise,United Rugby Championship,8,5,0,3,8,3,15,512,Challenge Cup,5,4,0,1,5,3,15,400,10,4,1,5,10,1,5,778,1,0
36,Kurt,Lee-Arendse,South Africa,Winger,28,1.76,82,2019,Bulls,United Rugby Championship,13,9,0,4,13,10,50,925,champions cup,2,2,0,0,2,0,0,160,11,9,0,2,10,7,35,783,2,0
37,Levani,Botia,Fiji,Center,35,1.82,103,2013,Stade Rochelais,Top 14,14,8,0,6,13,3,15,858,champions cup,6,3,0,3,6,0,0,395,6,2,0,4,5,1,5,383,2,0
38,Garry,Ringrose,Ireland,Center,29,1.86,90,2015,Leinster Rugby,United Rugby Championship,4,3,0,1,4,1,5,226,champions cup,4,4,0,0,4,0,0,308,10,8,0,2,7,2,10,578,0,0
39,Siya,Kolisi,South Africa,Backrow,33,1.89,104,2013,Racing 92,Top 14,13,4,0,9,13,0,0,992,champions cup,5,1,0,4,5,1,5,316,11,9,0,2,11,2,10,570,2,0
40,Semi,Radradra,Fiji,Utility Back,32,1.88,105,2015,Lyon,Top 14,9,5,0,4,9,0,0,644,champions cup,1,0,0,1,1,1,5,80,7,3,0,4,7,1,5,513,3,0
41,Tom,Curry,England,Backrow,26,1.85,110,2016,Sale,Premiership,1,0,0,1,0,0,0,34,None,0,0,0,0,0,0,0,0,8,5,0,3,0,0,0,339,0,1
42,Robbie,Henshaw,Ireland,Center,31,1.91,100,2013,Leinster,United Rugby Championship,7,5,0,2,7,1,5,427,champions cup,8,7,0,1,8,2,10,650,11,9,0,2,9,0,0,705,1,0
43,Damian,McKenzie,New Zealand,Utility Back,29,1.77,81,2014,Chiefs,Super Rugby Pacific,15,10,0,5,15,2,177,1102,None,0,0,0,0,0,0,0,0,12,10,0,2,8,6,122,576,0,0
44,Damian,De-Allende,South Africa,Center,32,1.89,106,2013,Munster Rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,2,9,1,0,727,0,0
45,Peter,O’Mahony,Ireland,Backrow ,34,1.91,108,2012,Munster Rugby,United Rugby Championship,8,7,0,1,8,0,0,392,champions cup,3,1,0,2,3,1,5,183,13,10,0,3,11,2,10,717,3,0
46,Julian,Montoya,Argentine,Hooker,30,1.83,113,2015,Leicester,Premiership,11,7,0,4,11,3,15,738,champions cup,4,1,0,3,4,0,0,301,10,4,0,6,10,0,0,641,0,0
47,Lukhayno,Am,South Africa,Hooker,30,1.86,93,2015,sharks,United Rugby Championship,10,4,0,6,10,2,10,757,Challenge Cup,7,6,0,1,7,4,20,539,3,3,0,0,3,1,5,200,0,0
48,Jack,Willis,England,Backrow ,27,1.9,112,2016,Wasps,Top 14,14,9,1,4,11,3,15,781,champions cup,6,6,0,0,5,1,5,418,4,2,0,2,2,1,5,191,1,0
49,Ange,Capuozzo,Italy,Utility Back,25,1.78,82,2022,Stade Toulousain,Top 14,12,8,1,3,9,6,30,761,champions cup,1,1,0,0,0,0,0,7,11,7,1,3,11,6,30,802,0,0
50,Sam,Underhill,England,Backrow ,28,1.91,110,2014,Bath Rugby,Premiership,11,8,0,3,11,0,0,759,champions cup,2,1,0,1,2,0,0,150,9,5,0,4,8,1,5,186,0,0
51,Gregory,Alldritt,France,Backrow,27,1.91,114,2004,Stade Rochelais,Top 14,12,7,1,4,10,2,10,826,champions cup,4,3,0,1,4,1,5,320,10,8,0,2,10,0,0,687,0,0
52,Mark,Telea,New Zealand,Winger ,27,1.86,94,2018,Blues,Super Rugby Pacific,15,13,0,2,15,9,45,1180,None,0,0,0,0,0,0,0,0,9,5,0,4,8,6,30,631,0,0
